Location,Population,HighestInfectionCount,PercentPopulationInfected
Brunei,455374,350550,76.98067962
San Marino,34113,25292,74.14182277
Austria,9064678,6083750,67.11490469
South Korea,51782515,34571873,66.76360351
Martinique,349462,230354,65.91675204
Slovenia,2115231,1366751,64.61473948
Jersey,103493,66391,64.15023238
Faroe Islands,54039,34658,64.13516164
Luxembourg,653315,401395,61.43973428
Andorra,79722,48015,60.22804245
Saint Pierre and Miquelon,5760,3426,59.47916667
Niue,1844,1092,59.21908894
France,66277412,39058068,58.93119061
Denmark,5902901,3453247,58.5008456
Reunion,871543,494595,56.74935144
Greece,10412481,5856910,56.24893817
Iceland,380368,211230,55.53306272
Guernsey,63750,35326,55.41333333
Liechtenstein,39338,21649,55.03330113
Falkland Islands,3515,1923,54.7083926
Gibraltar,37631,20550,54.60923175
Portugal,10417074,5671586,54.44509658
Cyprus,1331376,718604,53.97453462
Singapore,5649888,3006155,53.20733792
Israel,9103143,4841699,53.18711351
Guadeloupe,384702,203235,52.82920286
New Zealand,5131731,2668236,51.9948532
Latvia,1881059,977795,51.9810915
Lithuania,2816923,1447821,51.39725154
Switzerland,8792180,4491241,51.08222307
Saint Barthelemy,10948,5507,50.30142492
Cook Islands,14747,7375,50.01017156
Georgia,3794782,1864337,49.12896182
Netherlands,17904421,8656989,48.35112512
Czechia,10673216,4885505,45.77350444
Germany,84086227,38437951,45.71254101
Estonia,1350093,617072,45.70588841
Nauru,11822,5393,45.61833869
Bahrain,1533460,696614,45.42759511
Australia,26200987,11861161,45.26990147
Italy,59619106,26969821,45.23687591
Isle of Man,84148,38008,45.16803727
Monaco,38950,17181,44.11039795
Cayman Islands,71610,31472,43.94916911
Saint Martin (French part),28899,12324,42.64507422
Belgium,11641814,4906789,42.14797625
Bonaire Sint Eustatius and Saba,28654,11922,41.60675647
Seychelles,125533,51899,41.34291382
Aruba,107792,44224,41.02716343
Montenegro,614649,251280,40.88186916
Marshall Islands,40094,16297,40.6469796
Saint Helena,5369,2166,40.34270814
Barbados,282324,109141,38.65806662
Puerto Rico,3240972,1252713,38.65238577
Serbia,6791215,2568004,37.81361656
United Kingdom,68179315,25110923,36.83070591
Palau,17784,6372,35.82995951
Maldives,524116,186694,35.62074045
Croatia,3907031,1371375,35.10018221
Ireland,5110015,1765889,34.55741324
Slovakia,5473195,1889565,34.52398462
French Guiana,298319,98041,32.86448399
Wallis and Futuna,11501,3760,32.69280932
Northern Mariana Islands,46101,14985,32.5047179
Guam,165193,52287,31.65206758
Montserrat,4476,1403,31.34495085
Uruguay,3390913,1043228,30.76540153
United States,341534041,103436829,30.28595003
Mongolia,3386015,1011489,29.87254929
Tuvalu,10012,2943,29.39472633
United States Virgin Islands,86521,25389,29.34432103
Spain,47828386,13980340,29.23021488
Bermuda,64772,18860,29.11751992
Norway,5456796,1550562,28.41524587
French Polynesia,280388,79451,28.33609142
Micronesia (country),112122,31765,28.33074687
New Caledonia,287130,80203,27.93264375
Chile,19553033,5410441,27.67059719
Anguilla,14202,3904,27.48908604
Finland,5569300,1517263,27.24333399
Japan,124997585,33803572,27.04338008
Sweden,10487335,2785050,26.55631769
Sint Maarten (Dutch part),42163,11051,26.21018428
Mauritius,1276134,332105,26.02430466
Curacao,185350,45883,24.75478824
Costa Rica,5081764,1241702,24.43446803
Dominica,66847,16047,24.00556495
Panama,4400775,1045652,23.76063307
Malta,528194,125283,23.71912593
Hungary,9684308,2240618,23.13658343
Argentina,45407904,10118855,22.28434724
Moldova,3039986,656455,21.59401392
Lebanon,5744492,1239904,21.58422364
Greenland,56014,11971,21.37144285
British Virgin Islands,38346,7661,19.97861576
Bulgaria,6825862,1341038,19.64642707
Turkey,87058469,17004725,19.53253393
North Macedonia,1840236,352093,19.13303511
Romania,19166776,3603769,18.80216579
Brazil,210306411,37962511,18.05104791
Poland,38385734,6839635,17.81816911
Qatar,2892466,514524,17.78841998
Belize,402741,71493,17.75160711
American Samoa,48365,8359,17.28315931
Russia,145579889,24901467,17.10501854
Saint Lucia,178794,30254,16.92114948
Grenada,116928,19693,16.84198823
Tonga,105053,16992,16.17469277
Armenia,2880880,454893,15.79007109
Jordan,11256269,1746997,15.52021367
Malaysia,34695494,5329836,15.36175274
Turks and Caicos Islands,45869,6933,15.1147834
Kuwait,4589514,667290,14.53944797
Saint Kitts and Nevis,46732,6607,14.13806385
Mayotte,305279,42027,13.76675107
Botswana,2439895,330699,13.55382096
Peru,33475436,4533436,13.54257492
Ukraine,41048768,5555148,13.5330444
Palestine,5305274,703228,13.25526259
Suriname,623172,82516,13.24128812
Trinidad and Tobago,1495923,191496,12.80119364
Bosnia and Herzegovina,3204802,404289,12.61510071
Cape Verde,519750,64550,12.41943242
Canada,38821259,4819055,12.41344337
Colombia,51737944,6402704,12.3752579
Albania,2827614,337234,11.92645106
Vietnam,99680656,11624000,11.66123947
Paraguay,6760460,735759,10.8832683
Belarus,9173240,994083,10.83677087
United Arab Emirates,10242085,1067030,10.41809358
Cuba,11059822,1113834,10.07099391
Bolivia,12077156,1212180,10.03696566
Bahamas,397542,39127,9.842230506
Antigua and Barbuda,92850,9106,9.80721594
Tunisia,12119338,1153361,9.516699675
Saint Vincent and the Grenadines,102063,9674,9.478459383
Guyana,821638,75520,9.191395724
Iran,89524247,7627863,8.520443629
Oman,4730229,399449,8.444601731
Azerbaijan,10295307,836510,8.125158385
Bhutan,780921,63193,8.09211175
Samoa,215270,17057,7.923537883
Thailand,71735321,5419906,7.555421687
Fiji,919428,69047,7.509777818
Kazakhstan,20034612,1504370,7.508855175
Guatemala,17847877,1255261,7.033110997
Libya,7223804,507269,7.022186648
China,1425179562,99381761,6.973279975
South Africa,62378417,4073151,6.529744094
Eswatini,1218921,75356,6.182189002
Ecuador,17823900,1081978,6.070377415
Namibia,2889668,172557,5.971516451
Mexico,128613116,7629844,5.932399616
Dominican Republic,11230734,661103,5.886552028
Iraq,44070556,2465545,5.594540264
Jamaica,2839150,157664,5.553211348
Vatican,513,26,5.068226121
Honduras,10463880,473041,4.520703601
Kiribati,130483,5085,3.897059387
Vanuatu,313061,12019,3.83918789
Philippines,113964343,4173631,3.662225298
Tokelau,2312,80,3.460207612
Morocco,37329068,1279115,3.426592381
Nepal,29715435,1003946,3.378533749
