location,gdp_per_capita,hospital_beds_per_thousand,total_deaths_per_million
Luxembourg,117746.9921875,4.260000228881836,1530.6551969570576
Ireland,112445.421875,2.970000028610229,1912.1274595084358
Singapore,108036.109375,2.490000009536743,358.23718983455956
Qatar,96557.8125,1.25,238.5507729390769
Bermuda,81165.6484375,0,2547.3970234051753
"United Arab Emirates",74917.671875,1.3799999952316284,229.34783298517831
Switzerland,72278.2109375,4.630000114440918,1611.659451922049
"Cayman Islands",71353.890625,0,516.687613461807
Norway,67296.15625,3.5299999713897705,1050.4332579044553
"United States",64623.125,2.869999885559082,3616.541403555144
"San Marino",61609.01171875,3.799999952316284,3693.606542960162
Denmark,59935.12109375,2.5999999046325684,1696.1151813320264
Netherlands,59249.16796875,3.1700000762939453,1283.8169969305345
Brunei,58669.90234375,2.8499999046325684,399.67147882839157
"Hong Kong",58478.8828125,0,0
Austria,55867.18359375,7.269999980926514,2485.9129028080206
Iceland,55567.4375,2.8299999237060547,489.0001261935809
Sweden,55359.34375,2.140000104904175,2793.9414541444517
Germany,53969.625,8,2080.947216242679
Belgium,53287.15234375,5.579999923706055,2949.626235224167
Bahrain,51854.71484375,1.7400000095367432,1001.6563849073337
Macao,51840.140625,0,0
Australia,51090.26171875,3.839999914169312,963.1698225719513
"Saudi Arabia",50188.296875,2.240000009536743,299.7947093102419
Kuwait,49400.35546875,2.039999961853028,559.9721451988163
Canada,49296.37890625,2.5199999809265137,1424.0135797759676
Finland,49275.15234375,3.609999895095825,2058.7865620454995
Malta,48641.8515625,4.489999771118164,2116.646535174576
"United Kingdom",47587.16796875,2.4600000381469727,3404.4343214653886
France,45904.41015625,5.909999847412109,2537.8027735904957
"South Korea",45560.125,12.43000030517578,693.940802218664
"New Zealand",45185.3125,2.569999933242798,884.3020025796363
Cyprus,44996.31640625,3.400000095367432,1024.5039718306473
Israel,44393.30078125,2.9800000190734863,1395.8915069223892
Italy,44292.19140625,3.140000104904175,3329.855365493069
"Sint Maarten (Dutch part)",41942.91796875,0,2182.0079216374547
Japan,41837.91015625,12.979999542236328,597.563544927688
Aruba,41273.61328125,0,2708.9208846667657
Czechia,41052.34765625,6.619999885559082,4116.659870839304
Slovenia,41015.2265625,4.429999828338623,4686.958540225631
Spain,40223.01171875,2.970000028610229,2548.2775019838637
Lithuania,39955.24609375,6.429999828338623,3521.9280044218463
Estonia,37711.8203125,4.570000171661377,2525.0112399664317
Poland,37706.60546875,6.539999961853027,3151.7698736723387
Portugal,35767.72265625,3.450000047683716,2845.42473251126
Guyana,35634.6875,1.7100000381469729,1596.8102741109833
Hungary,35356.77734375,7.010000228881836,5072.535900345178
Oman,35336.89453125,1.4700000286102295,978.3881499183232
Bahamas,34663.49609375,2.9600000381469727,2135.6234058288182
Croatia,34302.34765625,5.539999961853027,4813.117684502631
"Puerto Rico",34297.93359375,0,1832.166399462877
Panama,33266.4765625,2.25,2006.4647704097572
Slovakia,33176.18359375,5.699999809265137,3908.685877261819
Turkey,33149.5,2.8499999046325684,1164.952717006774
Latvia,32992.3828125,5.489999771118164,4098.755009810962
Romania,32495.908203125,6.889999866485596,3604.8316106996817
Greece,31704.42578125,4.199999809265137,3863.8245774470083
"Saint Kitts and Nevis",28770.138671875,2.299999952316284,984.3362150132671
Malaysia,28383.619140625,1.8799999952316284,1076.5374892774262
Russia,27450.44921875,7.119999885559082,2777.1006199901694
Bulgaria,26961.291015625,7.449999809265137,5680.894222590495
